Time,IR_brachial,IR_ankle
1897,108855,104051
1900,108877,104049
1905,108866,104059
1910,108873,104044
1915,108877,104058
1921,108899,104058
1926,108909,104066
1931,108918,104076
1936,108901,104060
1941,108856,104075
1946,108866,104084
1951,108857,104097
1956,108876,104086
1960,108888,104097
1966,108899,104111
1971,108883,104147
1976,108890,104126
1981,108909,104141
1986,108903,104157
1991,108911,104128
1996,108902,104147
2001,108870,104161
2007,108842,104166
2012,108869,104183
2015,108873,104183
2020,108890,104177
2025,108898,104192
2030,108884,104195
2035,108889,104209
2040,108911,104195
2045,108914,104209
2051,108911,104227
2056,108895,104216
2061,108879,104226
2066,108866,104219
2071,108889,104212
2075,108886,104244
2080,108914,104239
2085,108893,104242
2091,108909,104243
2096,108933,104263
2101,108949,104250
2106,108950,104266
2111,108941,104239
2116,108894,104245
2120,108871,104245
2125,108894,104229
2129,108911,104241
2135,108922,104239
2140,108938,104228
2145,108935,104240
2150,108917,104246
2155,108938,104244
2160,108933,104241
2165,108967,104241
2170,108949,104236
2176,108919,104246
2181,108892,104225
2186,108906,104227
2190,108922,104258
2194,108917,104244
2199,108934,104226
2204,108936,104214
2209,108936,104216
2214,108963,104262
2220,108953,104242
2225,108969,104245
2230,108957,104229
2235,108930,104244
2240,108904,104250
2245,108916,104218
2249,108940,104204
2254,108955,104226
2259,108956,104253
2265,108963,104258
2270,108969,104242
2275,109001,104221
2280,108990,104236
2285,109003,104251
2290,108993,104236
2295,108946,104246
2300,108926,104243
2306,108953,104253
2309,108963,104260
2314,108967,104262
2319,108985,104253
2324,108994,104256
2329,108962,104278
2334,108995,104272
2339,109010,104272
2344,108986,104256
2350,108946,104288
2355,108930,104274
2360,108910,104281
2365,108929,104281
2369,108947,104283
2374,108925,104277
2379,108926,104291
2384,108919,104284
2390,108934,104295
2395,108937,104294
2400,108948,104312
2405,108930,104304
2410,108882,104289
2415,108861,104312
2420,108868,104262
2423,108875,104276
2428,108890,104256
2434,108880,104261
2439,108886,104230
2444,108882,104202
2449,108895,104200
2454,108890,104197
2459,108904,104181
2464,108887,104168
2469,108863,104162
2475,108831,104160
2480,108826,104095
2484,108850,104112
2489,108853,104088
2494,108880,104088
2499,108852,104083
2504,108864,104090
2509,108875,104070
2513,108888,104061
2519,108880,104063
2524,108874,104048
2529,108842,104037
2534,108833,104049
2539,108839,104052
2543,108854,104042
2548,108862,104027
2553,108855,104039
2558,108871,104029
2564,108871,104028
2569,108882,104036
2574,108884,104036
2579,108908,104037
2584,108890,104034
2589,108848,104041
2594,108853,104032
2599,108831,104031
2603,108843,104046
2608,108866,104068
2613,108875,104057
2618,108877,104075
2623,108882,104080
2628,108894,104085
2633,108891,104088
2638,108906,104076
2643,108885,104118
2649,108867,104114
2654,108861,104102
2659,108847,104119
2664,108863,104124
2668,108879,104120
2673,108875,104117
2678,108880,104138
2683,108865,104154
2689,108908,104146
2694,108872,104157
2699,108906,104156
2704,108859,104171
2709,108858,104183
2714,108842,104169
2719,108850,104178
2722,108860,104165
2727,108868,104174
2733,108881,104196
2738,108870,104195
2743,108880,104196
2748,108907,104199
2753,108916,104205
2758,108911,104192
2763,108872,104201
2768,108866,104202
2774,108860,104210
2779,108879,104208
2783,108879,104200
2788,108894,104200
2793,108883,104196
2798,108904,104192
2803,108919,104201
2808,108910,104193
2813,108933,104194
2818,108913,104188
2823,108892,104185
2828,108891,104199
2833,108890,104196
2838,108893,104188
2842,108924,104198
2847,108895,104189
2852,108924,104199
2857,108906,104207
2863,108932,104200
2868,108938,104195
2873,108942,104186
2878,108961,104203
2883,108928,104205
2888,108905,104206
2893,108889,104202
2898,108914,104215
2902,108941,104211
2907,108941,104209
2912,108929,104219
2917,108947,104205
2922,108959,104196
2927,108964,104230
2932,109008,104212
2937,108974,104227
2942,108944,104227
2948,108937,104212
2953,108917,104232
2958,108932,104224
2962,108939,104214
2967,108970,104223
2972,108982,104232
2977,108972,104241
2982,108950,104245
2988,108993,104259
2993,108978,104267
2998,108964,104238
3003,108935,104263
3008,108885,104259
3013,108900,104263
3016,108926,104238
3021,108929,104254
3026,108922,104274
3032,108916,104265
3037,108909,104268
3042,108937,104272
3047,108908,104268
3052,108931,104283
3057,108921,104276
3062,108856,104275
3067,108859,104256
3073,108839,104261
3078,108848,104267
3082,108859,104212
3087,108862,104233
3092,108848,104220
3097,108845,104181
3102,108859,104185
3106,108855,104166
3111,108878,104166
3117,108853,104151
3122,108813,104125
3127,108800,104114
3132,108802,104109
3137,108815,104077
3142,108811,104056
3146,108823,104053
3151,108846,104087
3156,108818,104053
3162,108819,104043
3167,108851,104043
3172,108854,104056
3177,108846,104026
3182,108810,104025
3187,108807,104008
3192,108784,104018
3197,108781,104018
3203,108786,103973
3208,108814,103957
3211,108811,103990
3216,108806,104003
3221,108817,103998
3226,108826,103994
3231,108848,103991
3236,108839,104015
3241,108804,104028
3247,108799,104011
3252,108787,104036
3257,108806,104024
3262,108804,104011
3267,108825,103958
